elapsed_seconds,total_rss_mb,process_count,max_single_rss_mb
460.67,370.59,3,155.45
462.70,370.59,3,155.45
464.73,370.72,3,155.58
466.74,370.72,3,155.58
468.77,370.72,3,155.58
470.79,370.84,3,155.70
472.81,370.84,3,155.70
474.82,370.84,3,155.70
476.85,370.97,3,155.83
478.86,370.97,3,155.83
480.90,371.09,3,155.95
482.92,371.09,3,155.95
484.93,371.09,3,155.95
486.96,371.09,3,155.95
488.97,371.09,3,155.95
491.00,371.09,3,155.95
493.01,371.22,3,156.08
495.04,371.22,3,156.08
497.06,371.22,3,156.08
499.07,371.34,3,156.20
501.08,371.34,3,156.20
503.09,371.47,3,156.33
505.10,371.47,3,156.33
507.12,371.47,3,156.33
509.13,371.47,3,156.33
511.14,371.59,3,156.45
513.18,371.59,3,156.45
515.20,371.59,3,156.45
517.21,371.84,3,156.70
519.23,371.84,3,156.70
521.25,371.84,3,156.70
523.27,371.97,3,156.83
525.28,371.97,3,156.83
527.31,371.97,3,156.83
529.34,371.97,3,156.83
531.35,372.09,3,156.95
533.36,372.09,3,156.95
535.39,372.09,3,156.95
537.41,372.22,3,157.08
539.43,372.22,3,157.08
541.47,372.22,3,157.08
543.48,372.34,3,157.20
545.50,372.34,3,157.20
547.51,372.34,3,157.20
549.53,309.80,3,112.18
551.55,370.47,3,155.33
553.58,370.47,3,155.33
555.60,370.59,3,155.45
557.62,370.59,3,155.45
559.63,370.59,3,155.45
561.65,370.72,3,155.58
563.66,370.72,3,155.58
565.69,370.72,3,155.58
567.72,370.84,3,155.70
569.73,370.84,3,155.70
571.76,370.84,3,155.70
573.78,370.97,3,155.83
575.79,370.97,3,155.83
577.80,370.97,3,155.83
579.83,371.09,3,155.95
581.85,371.09,3,155.95
583.88,371.09,3,155.95
585.90,371.22,3,156.08
587.92,371.22,3,156.08
589.95,371.34,3,156.20
591.96,371.34,3,156.20
594.00,371.34,3,156.20
596.01,371.47,3,156.33
598.03,371.47,3,156.33
600.05,371.59,3,156.45
602.44,371.59,3,156.45
604.47,371.72,3,156.58
606.49,371.72,3,156.58
608.51,371.72,3,156.58
610.52,371.84,3,156.70
612.53,371.84,3,156.70
614.55,371.84,3,156.70
616.57,371.97,3,156.83
618.76,371.97,3,156.83
620.83,371.97,3,156.83
622.86,372.09,3,156.95
624.91,372.09,3,156.95
627.28,372.09,3,156.95
629.47,372.09,3,156.95
631.57,372.09,3,156.95
633.62,372.22,3,157.08
635.81,372.22,3,157.08
637.95,372.22,3,157.08
639.97,372.34,3,157.20
642.00,372.34,3,157.20
644.18,372.34,3,157.20
646.40,370.75,3,155.61
648.59,370.75,3,155.61
650.60,370.75,3,155.61
652.85,370.75,3,155.61
655.06,370.75,3,155.61
657.27,370.75,3,155.61
659.49,370.87,3,155.73
661.83,370.87,3,155.73
663.93,370.87,3,155.73
665.96,370.87,3,155.73
